"TestName","debug_test","test_manual","Initial_Commit","Commit002","current"
"test_concurrent_routing_reliability","missing","passed","passed","passed","passed"
"test_correct_http_error_codes","missing","passed","passed","passed","passed"
"test_diversity_filter_max_per_artist","missing","passed","failed","passed","passed"
"test_diversity_ratio_in_api_response","missing","passed","passed","passed","passed"
"test_empty_results_graceful_response","missing","passed","passed","passed","passed"
"test_fallback_strategies_activated","missing","passed","failed","passed","passed"
"test_gateway_timeout_isolation","missing","passed","passed","passed","passed"
"test_genre_detection_known_genres","missing","passed","failed","passed","passed"
"test_genre_detection_none_for_unknown","missing","passed","failed","passed","passed"
"test_history_without_existing_profile","missing","failed","failed","failed","failed"
"test_listening_history_saved_with_verification","missing","passed","passed","failed","passed"
"test_profile_json_serialization","missing","failed","failed","failed","failed"
"test_profile_save_and_retrieve","missing","passed","passed","failed","passed"
"test_profile_update_overwrites_correctly","missing","passed","passed","failed","passed"
"test_rapid_request_service_stability","missing","passed","passed","passed","passed"
"test_rate_limit_429_handling","missing","passed","passed","passed","passed"
"test_rate_limit_delay_enforced","missing","passed","passed","passed","passed"
"test_rate_limit_recovery","missing","passed","passed","passed","passed"
"test_recommendation_service_timeout_handling","missing","passed","passed","passed","passed"
"test_service_unavailable_returns_503_not_500","missing","passed","passed","passed","passed"
"test_timeout_configuration_present","missing","passed","failed","passed","passed"
"test_timeout_returns_empty_not_crash","missing","passed","passed","passed","passed"
