File,Line,Column,Error_Code,Description,Message
gateway/main.py,1,1,D100,Missing docstrings,Missing docstring in public module
gateway/main.py,2,1,I201,Other,"Missing newline between import groups. 'from pydantic import BaseModel' is identified as Third Party and 'from fastapi import FastAPI, HTTPException' is identified as Third Party."
gateway/main.py,3,1,I100,Other,Import statements are in the wrong order. 'from prometheus_fastapi_instrumentator import Instrumentator' should be before 'from pydantic import BaseModel' and in a different group.
gateway/main.py,3,1,I201,Other,Missing newline between import groups. 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party and 'from pydantic import BaseModel' is identified as Third Party.
gateway/main.py,4,1,I100,Other,Import statements are in the wrong order. 'import httpx' should be before 'from prometheus_fastapi_instrumentator import Instrumentator' and in a different group.
gateway/main.py,4,1,I201,Other,Missing newline between import groups. 'import httpx' is identified as Third Party and 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party.
gateway/main.py,5,1,I201,Other,Missing newline between import groups. 'import uvicorn' is identified as Third Party and 'import httpx' is identified as Third Party.
gateway/main.py,6,1,I100,Other,Import statements are in the wrong order. 'import os' should be before 'import uvicorn' and in a different group.
gateway/main.py,6,1,I201,Other,Missing newline between import groups. 'import os' is identified as Stdlib and 'import uvicorn' is identified as Third Party.
gateway/main.py,7,1,I100,Other,Import statements are in the wrong order. 'import logging' should be before 'import os'
gateway/main.py,26,80,E501,Line length,line too long (93 > 79 characters)
gateway/main.py,36,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,37,1,D204,Docstring format,1 blank line required after class docstring
gateway/main.py,37,1,D400,Docstring content,First line should end with a period
gateway/main.py,41,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,42,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,46,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,47,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,50,80,E501,Line length,line too long (120 > 79 characters)
gateway/main.py,53,80,E501,Line length,line too long (93 > 79 characters)
gateway/main.py,61,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,62,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,65,80,E501,Line length,line too long (84 > 79 characters)
gateway/main.py,68,80,E501,Line length,line too long (92 > 79 characters)
gateway/main.py,75,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,76,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,79,80,E501,Line length,line too long (111 > 79 characters)
gateway/main.py,82,80,E501,Line length,line too long (93 > 79 characters)
gateway/main.py,90,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,91,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,91,80,E501,Line length,line too long (87 > 79 characters)
gateway/main.py,94,78,W291,Whitespace,trailing whitespace
gateway/main.py,95,39,E128,Indentation,continuation line under-indented for visual indent
gateway/main.py,95,80,E501,Line length,line too long (118 > 79 characters)
gateway/main.py,98,80,E501,Line length,line too long (93 > 79 characters)
gateway/main.py,103,80,E501,Line length,line too long (80 > 79 characters)
gateway/main.py,105,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,106,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,109,80,E501,Line length,line too long (81 > 79 characters)
gateway/main.py,112,80,E501,Line length,line too long (91 > 79 characters)
gateway/main.py,117,80,E501,Line length,line too long (80 > 79 characters)
gateway/main.py,120,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,121,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,123,80,E501,Line length,line too long (89 > 79 characters)
gateway/main.py,124,1,W293,Whitespace,blank line contains whitespace
gateway/main.py,125,80,E501,Line length,line too long (82 > 79 characters)
gateway/main.py,132,1,W293,Whitespace,blank line contains whitespace
gateway/main.py,135,71,W291,Whitespace,trailing whitespace
gateway/main.py,138,1,W293,Whitespace,blank line contains whitespace
gateway/main.py,139,80,E501,Line length,line too long (104 > 79 characters)
gateway/main.py,140,1,W293,Whitespace,blank line contains whitespace
gateway/main.py,144,80,E501,Line length,line too long (87 > 79 characters)
gateway/main.py,146,80,E501,Line length,line too long (87 > 79 characters)
gateway/main.py,148,80,E501,Line length,line too long (103 > 79 characters)
gateway/main.py,149,80,E501,Line length,line too long (108 > 79 characters)
gateway/main.py,150,1,W293,Whitespace,blank line contains whitespace
gateway/main.py,153,80,E501,Line length,line too long (107 > 79 characters)
gateway/main.py,156,80,E501,Line length,line too long (89 > 79 characters)
gateway/main.py,159,80,E501,Line length,line too long (89 > 79 characters)
gateway/main.py,161,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,162,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,165,80,E501,Line length,line too long (107 > 79 characters)
gateway/main.py,165,108,W291,Whitespace,trailing whitespace
gateway/main.py,166,39,E128,Indentation,continuation line under-indented for visual indent
gateway/main.py,170,80,E501,Line length,line too long (85 > 79 characters)
gateway/main.py,172,80,E501,Line length,line too long (101 > 79 characters)
gateway/main.py,177,80,E501,Line length,line too long (82 > 79 characters)
gateway/main.py,179,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,180,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,183,80,E501,Line length,line too long (110 > 79 characters)
gateway/main.py,183,111,W291,Whitespace,trailing whitespace
gateway/main.py,184,39,E128,Indentation,continuation line under-indented for visual indent
gateway/main.py,188,80,E501,Line length,line too long (117 > 79 characters)
gateway/main.py,190,80,E501,Line length,line too long (86 > 79 characters)
gateway/main.py,193,80,E501,Line length,line too long (90 > 79 characters)
gateway/main.py,195,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,197,1,D400,Docstring content,First line should end with a period
gateway/main.py,199,1,W293,Whitespace,blank line contains whitespace
gateway/main.py,208,74,W291,Whitespace,trailing whitespace
gateway/main.py,214,1,W293,Whitespace,blank line contains whitespace
gateway/main.py,218,80,E501,Line length,line too long (98 > 79 characters)
gateway/main.py,220,54,W291,Whitespace,trailing whitespace
gateway/main.py,228,80,E501,Line length,line too long (93 > 79 characters)
gateway/main.py,230,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,231,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,234,80,E501,Line length,line too long (97 > 79 characters)
gateway/main.py,238,80,E501,Line length,line too long (80 > 79 characters)
gateway/main.py,240,80,E501,Line length,line too long (101 > 79 characters)
gateway/main.py,245,80,E501,Line length,line too long (82 > 79 characters)
gateway/main.py,247,1,E302,Blank lines,"expected 2 blank lines, found 1"
gateway/main.py,248,1,D103,Missing docstrings,Missing docstring in public function
gateway/main.py,248,80,E501,Line length,line too long (112 > 79 characters)
gateway/main.py,251,80,E501,Line length,line too long (108 > 79 characters)
gateway/main.py,252,40,E128,Indentation,continuation line under-indented for visual indent
gateway/main.py,252,80,E501,Line length,line too long (131 > 79 characters)
gateway/main.py,256,80,E501,Line length,line too long (101 > 79 characters)
gateway/main.py,261,80,E501,Line length,line too long (82 > 79 characters)
gateway/main.py,265,48,W292,Whitespace,no newline at end of file
init_db.py,2,1,D205,Docstring format,1 blank line required between summary line and description
init_db.py,2,1,D400,Docstring content,First line should end with a period
init_db.py,10,1,I100,Other,Import statements are in the wrong order. 'import logging' should be before 'import time'
init_db.py,11,1,I201,Other,"Missing newline between import groups. 'from sqlalchemy import create_engine, text' is identified as Third Party and 'import logging' is identified as Stdlib."
init_db.py,17,1,I100,Other,Import statements are in the wrong order. 'from shared.models import Base' should be before 'from sqlalchemy.exc import OperationalError' and in a different group.
init_db.py,17,1,E402,Imports,module level import not at top of file
init_db.py,22,1,E302,Blank lines,"expected 2 blank lines, found 1"
init_db.py,23,1,D202,Docstring format,No blank lines allowed after function docstring
init_db.py,23,1,D400,Docstring content,First line should end with a period
init_db.py,24,1,W293,Whitespace,blank line contains whitespace
init_db.py,25,80,E501,Line length,line too long (101 > 79 characters)
init_db.py,26,1,W293,Whitespace,blank line contains whitespace
